System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:39:33:535, 28115640902050,    1.039,   31.000, 1300,   5.310,   5.518,   1.533,   3.120,   3.242,   0.901, 53,  0,   0.115,   0.120,   0.033,  25.000,  350,   0.000
14:39:34:542, 28118151966953,    2.046,   22.000,  800,   2.980,   8.518,   2.366,   0.974,   4.222,   1.173, 49,  0,   0.064,   0.184,   0.051,  25.000,  350,   0.000
14:39:35:557, 28120682619178,    3.060,   11.000,  800,   2.400,  10.953,   3.043,   0.639,   4.871,   1.353, 47,  0,   0.008,   0.193,   0.054,  25.000,  350,   0.000
14:39:36:566, 28123200859203,    4.070,    4.000,  800,   1.996,  12.968,   3.602,   0.354,   5.228,   1.452, 47,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:37:577, 28125722795043,    5.081,    3.000,  800,   1.896,  14.884,   4.135,   0.276,   5.507,   1.530, 46,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:38:582, 28128228575940,    6.086,    2.000,  800,   1.927,  16.820,   4.672,   0.300,   5.809,   1.614, 46,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:39:589, 28130740503388,    7.093,    2.000,  800,   1.854,  18.687,   5.191,   0.250,   6.061,   1.684, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:40:594, 28133247791150,    8.098,    3.000,  800,   1.845,  20.541,   5.706,   0.251,   6.313,   1.754, 41,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:41:609, 28135779670406,    9.113,   15.000,  800,   2.706,  23.288,   6.469,   0.906,   7.232,   2.009, 46,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:42:613, 28138284657628,   10.117,    8.000,  800,   2.387,  25.684,   7.135,   0.632,   7.867,   2.185, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:43:624, 28140806524403,   11.128,    3.000,  800,   1.946,  27.651,   7.681,   0.319,   8.189,   2.275, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:44:627, 28143307315488,   12.131,    3.000,  800,   1.898,  29.554,   8.210,   0.284,   8.474,   2.354, 46,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:45:642, 28145838086368,   13.145,    4.000,  800,   2.001,  31.584,   8.773,   0.372,   8.852,   2.459, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:46:648, 28148348022803,   14.152,    9.000,  800,   2.444,  34.044,   9.457,   0.772,   9.628,   2.675, 47,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:47:661, 28150875609640,   15.165,    1.000,  800,   1.758,  35.825,   9.951,   0.186,   9.816,   2.727, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:48:667, 28153384274688,   16.171,    4.000,  800,   2.051,  37.887,  10.524,   0.392,  10.211,   2.836, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:49:683, 28155917310340,   17.186,    2.000,  800,   1.946,  39.864,  11.073,   0.307,  10.523,   2.923, 44,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:50:689, 28158427995390,   18.193,    5.000, 3000,   1.992,  41.868,  11.630,   0.376,  10.901,   3.028, 48,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:51:691, 28160926922928,   19.195,    7.000,  800,   2.221,  44.093,  12.248,   0.567,  11.468,   3.186, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:52:693, 28163426112428,   20.197,    3.000,  800,   1.862,  45.959,  12.766,   0.265,  11.734,   3.259, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:53:695, 28165924967190,   21.198,    1.000,  800,   1.775,  47.737,  13.260,   0.198,  11.933,   3.315, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:54:697, 28168423807203,   22.200,    1.000,  800,   1.782,  49.522,  13.756,   0.205,  12.139,   3.372, 46,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:55:713, 28170960448743,   23.217,    2.000,  800,   1.805,  51.357,  14.266,   0.219,  12.361,   3.434, 44,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:56:730, 28173496531040,   24.234,    3.000,  800,   2.014,  53.405,  14.835,   0.353,  12.720,   3.533, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:57:732, 28175995466278,   25.236,    0.000,  800,   1.723,  55.131,  15.314,   0.161,  12.882,   3.578, 44,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:58:746, 28178524415665,   26.250,    1.000,  800,   1.713,  56.868,  15.797,   0.154,  13.038,   3.622, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:39:59:764, 28181064360890,   27.268,    1.000,  800,   1.706,  58.606,  16.279,   0.148,  13.189,   3.664, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
14:40:00:782, 28183602801663,   28.286,    4.000,  800,   2.095,  60.738,  16.872,   0.456,  13.653,   3.792, 45,  0,   0.000,   0.193,   0.054,  25.000,  350,   0.000
