System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:30:51:925, 26814565425626,    1.008,   49.000, 3000,  12.827,  12.926,   3.591,   9.145,   9.216,   2.560, 79,  0,   0.881,   0.887,   0.247,  25.000,  350,   0.000
14:30:52:964, 26817157713637,    2.047,   45.000, 3000,  12.291,  25.700,   7.139,   8.641,  18.196,   5.055, 79,  0,   0.880,   1.802,   0.501,  25.000,  350,   0.000
14:30:53:969, 26819663489238,    3.052,   46.000, 1300,  11.207,  36.958,  10.266,   7.785,  26.017,   7.227, 75,  0,   0.704,   2.509,   0.697,  25.000,  350,   0.000
14:30:54:990, 26822210980166,    4.073,   51.000, 3000,   7.382,  44.498,  12.360,   4.290,  30.398,   8.444, 75,  0,   0.527,   3.048,   0.847,  25.000,  350,   0.000
14:30:56:012, 26824759052704,    5.094,   48.000, 3000,  10.199,  54.917,  15.255,   6.794,  37.339,  10.372, 76,  0,   0.724,   3.787,   1.052,  25.000,  650,   0.000
14:30:57:016, 26827264743257,    6.099,   47.000, 3000,  11.664,  66.634,  18.509,   8.133,  45.509,  12.641, 78,  0,   0.788,   4.579,   1.272,  25.000,  350,   0.000
14:30:58:021, 26829771728110,    7.104,   43.000, 3000,  11.524,  78.216,  21.727,   8.041,  53.591,  14.886, 76,  0,   0.752,   5.334,   1.482,  25.000,  350,   0.000
14:30:59:026, 26832276733169,    8.108,   42.000, 3200,  11.697,  89.963,  24.990,   8.206,  61.831,  17.175, 78,  0,   0.777,   6.114,   1.698,  25.000,  350,   0.000
14:31:00:033, 26834790115878,    9.116,   46.000,  800,  11.804, 101.857,  28.294,   8.214,  70.108,  19.474, 76,  0,   0.838,   6.959,   1.933,  25.000,  350,   0.000
14:31:01:041, 26837304572794,   10.124,   45.000, 2900,   9.860, 111.797,  31.055,   6.551,  76.712,  21.309, 76,  0,   0.651,   7.615,   2.115,  25.000,  350,   0.000
14:31:02:047, 26839811946263,   11.129,   47.000, 3000,   9.540, 121.386,  33.718,   6.181,  82.925,  23.035, 77,  0,   0.713,   8.332,   2.314,  25.000,  350,   0.000
14:31:03:055, 26842327766078,   12.138,   47.000, 1900,  10.839, 132.319,  36.755,   7.351,  90.339,  25.094, 75,  0,   0.777,   9.116,   2.532,  25.000,  650,   0.000
14:31:04:074, 26844868404790,   13.156,   46.000,  800,  11.089, 143.613,  39.893,   7.624,  98.105,  27.251, 76,  0,   0.732,   9.861,   2.739,  25.000,  350,   0.000
14:31:05:079, 26847375024925,   14.161,   52.000, 3000,  10.421, 154.085,  42.801,   6.878, 105.016,  29.171, 79,  0,   0.819,  10.684,   2.968,  25.000,  350,   0.000
14:31:06:084, 26849882452415,   15.167,   41.000, 1200,  11.028, 165.171,  45.881,   7.515, 112.571,  31.270, 75,  0,   0.807,  11.495,   3.193,  25.000,  350,   0.000
14:31:07:089, 26852388746079,   16.171,   50.000, 3000,   9.342, 174.558,  48.488,   5.979, 118.578,  32.938, 76,  0,   0.697,  12.195,   3.388,  25.000,  350,   0.000
14:31:08:102, 26854916577879,   17.185,   44.000, 3000,   7.097, 181.751,  50.486,   4.215, 122.850,  34.125, 77,  0,   0.448,  12.649,   3.514,  25.000,  350,   0.000
14:31:09:123, 26857461907613,   18.205,   43.000, 3000,  10.880, 192.854,  53.571,   7.644, 130.650,  36.292, 76,  0,   0.623,  13.285,   3.690,  25.000,  350,   0.000
14:31:10:132, 26859978890270,   19.214,   42.000, 2900,  10.243, 203.190,  56.442,   7.106, 137.821,  38.284, 76,  0,   0.547,  13.837,   3.844,  25.000,  650,   0.000
14:31:11:134, 26862479206266,   20.217,   45.000, 3000,   8.515, 211.725,  58.813,   5.450, 143.284,  39.801, 77,  0,   0.571,  14.409,   4.003,  25.000,  350,   0.000
14:31:12:146, 26865003215813,   21.229,   51.000, 3000,   8.320, 220.144,  61.151,   5.302, 148.649,  41.291, 75,  0,   0.489,  14.904,   4.140,  25.000,  350,   0.000
14:31:13:150, 26867508584885,   22.233,   52.000, 3000,   8.729, 228.911,  63.586,   5.439, 154.113,  42.809, 75,  0,   0.617,  15.525,   4.312,  25.000,  350,   0.000
14:31:14:156, 26870016976507,   23.239,   48.000, 3000,  10.384, 239.354,  66.487,   6.899, 161.051,  44.736, 77,  0,   0.777,  16.306,   4.529,  25.000,  350,   0.000
14:31:15:176, 26872562356553,   24.259,   43.000,  800,  11.935, 251.533,  69.870,   8.471, 169.695,  47.138, 75,  0,   0.740,  17.061,   4.739,  25.000,  350,   0.000
14:31:16:185, 26875078852175,   25.268,   44.000, 3000,  11.837, 263.476,  73.188,   8.383, 178.152,  49.487, 79,  0,   0.707,  17.775,   4.937,  25.000,  350,   0.000
14:31:17:205, 26877622555444,   26.288,   44.000, 3000,  12.129, 275.845,  76.624,   8.604, 186.926,  51.924, 78,  0,   0.789,  18.580,   5.161,  25.000,  350,   0.000
14:31:18:225, 26880167257734,   27.308,   42.000, 3000,  11.811, 287.894,  79.971,   8.383, 195.478,  54.300, 75,  0,   0.713,  19.306,   5.363,  25.000,  350,   0.000
14:31:19:248, 26882717973022,   28.331,   47.000, 3000,  12.040, 300.206,  83.391,   8.494, 204.165,  56.712, 77,  0,   0.767,  20.091,   5.581,  25.000,  350,   0.000
14:31:20:267, 26885259275696,   29.349,   44.000, 2900,  11.120, 311.536,  86.538,   7.652, 211.960,  58.878, 75,  0,   0.761,  20.866,   5.796,  25.000,  350,   0.000
14:31:21:310, 26887861419617,   30.393,   49.000, 3000,   8.490, 320.393,  88.998,   5.288, 217.477,  60.410, 75,  0,   0.611,  21.504,   5.973,  25.000,  350,   0.000
14:31:22:332, 26890410260289,   31.414,   51.000, 3000,  10.044, 330.657,  91.849,   6.715, 224.339,  62.316, 77,  0,   0.654,  22.172,   6.159,  25.000,  350,   0.000
14:31:23:353, 26892957364510,   32.436,   49.000, 3000,  10.709, 341.593,  94.887,   7.151, 231.641,  64.345, 76,  0,   0.838,  23.028,   6.397,  25.000,  650,   0.000
14:31:24:360, 26895468691047,   33.442,   45.000, 2900,  10.381, 352.044,  97.790,   6.948, 238.636,  66.288, 75,  0,   0.754,  23.787,   6.608,  25.000,  350,   0.000
14:31:25:364, 26897974803070,   34.447,   44.000, 1200,  11.545, 363.643, 101.012,   8.108, 246.783,  68.551, 75,  0,   0.698,  24.489,   6.802,  25.000,  350,   0.000
14:31:26:383, 26900516329933,   35.466,   49.000, 1900,  12.048, 375.919, 104.422,   8.264, 255.203,  70.890, 76,  0,   0.980,  25.487,   7.080,  25.000,  350,   0.000
14:31:27:405, 26903065053054,   36.488,   44.000, 1300,  10.477, 386.625, 107.396,   7.042, 262.398,  72.888, 75,  0,   0.748,  26.251,   7.292,  25.000,  350,   0.000
14:31:28:415, 26905582983260,   37.497,   49.000, 3000,   8.503, 395.208, 109.780,   5.412, 267.861,  74.406, 75,  0,   0.504,  26.759,   7.433,  25.000,  350,   0.000
14:31:29:418, 26908086634625,   38.501,   48.000, 1300,   9.861, 405.105, 112.529,   6.550, 274.435,  76.232, 75,  0,   0.666,  27.428,   7.619,  25.000,  350,   0.000
14:31:30:424, 26910595184033,   39.507,   53.000, 1300,   9.024, 414.181, 115.050,   5.644, 280.111,  77.809, 74,  0,   0.722,  28.154,   7.820,  25.000,  350,   0.000
14:31:31:459, 26913176536565,   40.542,   44.000, 1900,  10.149, 424.684, 117.968,   6.859, 287.210,  79.780, 74,  0,   0.622,  28.798,   7.999,  25.000,  350,   0.000
14:31:32:464, 26915683261790,   41.547,   49.000, 2600,   9.453, 434.184, 120.607,   6.094, 293.334,  81.482, 76,  0,   0.709,  29.510,   8.197,  25.000,  350,   0.000
14:31:33:486, 26918231841369,   42.568,   44.000, 3000,  10.790, 445.208, 123.669,   7.282, 300.774,  83.548, 74,  0,   0.809,  30.338,   8.427,  25.000,  350,   0.000
14:31:34:506, 26920777396426,   43.589,   46.000, 1300,   9.026, 454.420, 126.228,   5.844, 306.738,  85.205, 73,  0,   0.565,  30.914,   8.587,  25.000,  350,   0.000
14:31:35:529, 26923328140863,   44.611,   46.000, 3000,  11.435, 466.114, 129.476,   7.932, 314.849,  87.458, 76,  0,   0.771,  31.703,   8.806,  25.000,  350,   0.000
14:31:36:534, 26925835355470,   45.617,   45.000, 3000,   9.951, 476.116, 132.254,   6.577, 321.460,  89.294, 76,  0,   0.729,  32.436,   9.010,  25.000,  350,   0.000
14:31:37:539, 26928341961981,   46.622,   47.000, 2900,  10.140, 486.306, 135.085,   6.653, 328.145,  91.151, 75,  0,   0.791,  33.231,   9.231,  25.000,  350,   0.000
14:31:38:544, 26930849041835,   47.627,   43.000, 3000,  11.719, 498.085, 138.357,   8.182, 336.369,  93.436, 77,  0,   0.812,  34.047,   9.457,  25.000,  350,   0.000
14:31:39:556, 26933372106669,   48.638,   40.000, 3000,  10.304, 508.508, 141.252,   7.076, 343.527,  95.424, 77,  0,   0.649,  34.703,   9.640,  25.000,  350,   0.000
14:31:40:563, 26935884839751,   49.646,   41.000, 3000,   9.760, 518.340, 143.983,   6.597, 350.172,  97.270, 75,  0,   0.597,  35.304,   9.807,  25.000,  350,   0.000
14:31:41:583, 26938428379585,   50.665,   50.000, 3000,  10.986, 529.543, 147.095,   7.692, 358.016,  99.449, 78,  0,   0.599,  35.915,   9.976,  25.000,  650,   0.000
14:31:42:589, 26940937933272,   51.671,   45.000, 3000,  12.217, 541.834, 150.509,   8.551, 366.618, 101.838, 78,  0,   0.880,  36.800,  10.222,  25.000,  350,   0.000
14:31:43:595, 26943448227804,   52.678,   44.000, 3000,  12.198, 554.110, 153.919,   8.626, 375.300, 104.250, 78,  0,   0.800,  37.605,  10.446,  25.000,  350,   0.000
14:31:44:600, 26945955207798,   53.683,   47.000, 1300,  10.761, 564.925, 156.924,   7.318, 382.655, 106.293, 75,  0,   0.719,  38.328,  10.647,  25.000,  350,   0.000
14:31:45:621, 26948502245583,   54.704,   49.000, 3000,   9.791, 574.923, 159.701,   6.510, 389.303, 108.140, 78,  0,   0.630,  38.972,  10.826,  25.000,  350,   0.000
14:31:46:631, 26951021872864,   55.714,   48.000, 1300,  10.809, 585.841, 162.734,   7.285, 396.662, 110.184, 75,  0,   0.808,  39.788,  11.052,  25.000,  650,   0.000
