System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:30:51:925,26814565425626.0,1.008,49.0,3000.0,12.827,12.925999999999998,3.591,9.145,9.216000000000001,2.56,79.0,0.0,0.8809999999999999,0.887,0.247,25.0,350.0,0.0
14:30:52:964,26817157713637.0,2.0469999999999997,45.0,3000.0,12.290999999999999,25.7,7.138999999999999,8.641,18.195999999999998,5.055,79.0,0.0,0.88,1.8019999999999998,0.501,25.0,350.0,0.0
14:30:53:969,26819663489238.0,3.052,46.0,1300.0,11.207,36.958,10.265999999999998,7.785,26.017,7.227,75.0,0.0,0.7040000000000001,2.509,0.6970000000000001,25.0,350.0,0.0
14:30:54:990,26822210980166.0,4.073,51.0,3000.0,7.382000000000001,44.498000000000005,12.36,4.29,30.398000000000003,8.443999999999999,75.0,0.0,0.527,3.048,0.847,25.0,350.0,0.0
14:30:56:012,26824759052704.0,5.093999999999999,48.0,3000.0,10.199,54.917,15.255,6.794,37.339,10.372,76.0,0.0,0.7240000000000001,3.787,1.052,25.0,650.0,0.0
14:30:57:016,26827264743257.0,6.099,47.0,3000.0,11.664000000000001,66.634,18.509,8.133,45.50899999999999,12.640999999999998,78.0,0.0,0.7879999999999999,4.579,1.272,25.0,350.0,0.0
14:30:58:021,26829771728110.0,7.104,43.0,3000.0,11.524000000000001,78.21600000000001,21.726999999999997,8.041,53.591,14.886,76.0,0.0,0.752,5.334,1.482,25.0,350.0,0.0
14:30:59:026,26832276733169.0,8.107999999999999,42.0,3200.0,11.697000000000001,89.963,24.99,8.206,61.831,17.175,78.0,0.0,0.777,6.114,1.6980000000000002,25.0,350.0,0.0
14:31:00:033,26834790115878.0,9.116,46.0,800.0,11.804,101.85700000000001,28.294,8.214,70.108,19.474,76.0,0.0,0.838,6.959,1.933,25.0,350.0,0.0
14:31:01:041,26837304572794.0,10.124,45.0,2900.0,9.86,111.79700000000001,31.055,6.551,76.712,21.309,76.0,0.0,0.6509999999999999,7.615,2.115,25.0,350.0,0.0
