System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:29:36:620, 56925278537174,    0.101,    3.000,  800,   2.889,   0.291,   0.081,   0.725,   0.073,   0.020, 48,  0,   0.125,   0.013,   0.004,  25.000,  350,   0.000
11:29:36:721, 56925532591811,    0.203,    1.000,  800,   2.011,   0.496,   0.138,   0.254,   0.099,   0.027, 50,  0,   0.000,   0.013,   0.004,  25.000,  350,   0.000
11:29:36:823, 56925786799749,    0.304,    2.000,  800,   2.120,   0.712,   0.198,   0.320,   0.131,   0.037, 50,  0,   0.000,   0.013,   0.004,  25.000,  350,   0.000
11:29:36:929, 56926049689186,    0.410,    1.000,  800,   2.050,   0.928,   0.258,   0.270,   0.160,   0.044, 48,  0,   0.000,   0.013,   0.004,  25.000,  350,   0.000
11:29:37:031, 56926303890224,    0.512,    1.000,  800,   2.010,   1.133,   0.315,   0.249,   0.185,   0.051, 45,  0,   0.000,   0.013,   0.004,  25.000,  350,   0.000
11:29:37:133, 56926558342861,    0.614,    1.000,  800,   2.047,   1.341,   0.373,   0.266,   0.212,   0.059, 45,  0,   0.000,   0.013,   0.004,  25.000,  350,   0.000
11:29:37:235, 56926812769311,    0.716,    7.000,  800,   2.386,   1.585,   0.440,   0.553,   0.269,   0.075, 48,  0,   0.000,   0.013,   0.004,  25.000,  350,   0.000
11:29:37:340, 56927075816874,    0.821,   15.000,  800,   2.747,   1.874,   0.521,   0.773,   0.350,   0.097, 48,  0,   0.018,   0.015,   0.004,  25.000,  350,   0.000
11:29:37:461, 56927377466486,    0.942,    6.000,  800,   2.455,   2.171,   0.603,   0.612,   0.424,   0.118, 48,  0,   0.000,   0.015,   0.004,  25.000,  350,   0.000
11:29:37:563, 56927631575874,    1.044,   10.000,  800,   2.470,   2.423,   0.673,   0.644,   0.490,   0.136, 46,  0,   0.000,   0.015,   0.004,  25.000,  350,   0.000
11:29:37:674, 56927908261936,    1.155,    2.000,  800,   2.060,   2.652,   0.737,   0.298,   0.523,   0.145, 49,  0,   0.000,   0.015,   0.004,  25.000,  350,   0.000
11:29:37:779, 56928171074761,    1.260,    1.000,  800,   1.963,   2.858,   0.794,   0.210,   0.545,   0.151, 43,  0,   0.000,   0.015,   0.004,  25.000,  350,   0.000
11:29:37:896, 56928461446461,    1.377,    2.000,  800,   2.274,   3.123,   0.868,   0.362,   0.587,   0.163, 49,  0,   0.019,   0.017,   0.005,  25.000,  350,   0.000
11:29:37:997, 56928715549624,    1.479,    1.000,  800,   1.925,   3.319,   0.922,   0.200,   0.608,   0.169, 44,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:099, 56928969755799,    1.581,    2.000,  800,   2.030,   3.526,   0.979,   0.266,   0.635,   0.176, 47,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:201, 56929223884524,    1.682,    1.000,  800,   2.028,   3.733,   1.037,   0.266,   0.662,   0.184, 45,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:305, 56929481825149,    1.786,    0.000,  800,   1.982,   3.938,   1.094,   0.211,   0.684,   0.190, 42,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:406, 56929735863586,    1.888,    3.000,  800,   2.236,   4.165,   1.157,   0.386,   0.723,   0.201, 48,  0,   0.004,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:521, 56930020399749,    2.002,    1.000,  800,   2.034,   4.397,   1.221,   0.253,   0.752,   0.209, 47,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:623, 56930274600336,    2.104,    0.000,  800,   1.935,   4.595,   1.276,   0.188,   0.771,   0.214, 44,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:724, 56930528737036,    2.206,    1.000,  800,   2.030,   4.801,   1.334,   0.265,   0.798,   0.222, 44,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:826, 56930782860174,    2.307,    0.000,  800,   1.893,   4.994,   1.387,   0.163,   0.815,   0.226, 48,  0,   0.000,   0.017,   0.005,  25.000,  350,   0.000
11:29:38:928, 56931037026386,    2.409,    1.000,  800,   2.044,   5.202,   1.445,   0.258,   0.841,   0.234, 48,  0,   0.006,   0.018,   0.005,  25.000,  350,   0.000
